,000300.XSHG,000001.XSHG,399001.XSHE,399006.XSHE,399018.XSHE
358,,601600.XSHG,002583.XSHE,,
359,,603937.XSHG,002268.XSHE,,
360,,600819.XSHG,000059.XSHE,,
361,,600382.XSHG,002190.XSHE,,
362,,600166.XSHG,300170.XSHE,,
363,,600839.XSHG,002625.XSHE,,
364,,600576.XSHG,000157.XSHE,,
365,,603136.XSHG,002281.XSHE,,
366,,600242.XSHG,000917.XSHE,,
367,,603708.XSHG,002517.XSHE,,
368,,600373.XSHG,300083.XSHE,,
369,,601788.XSHG,002075.XSHE,,
370,,600827.XSHG,002013.XSHE,,
371,,603901.XSHG,002302.XSHE,,
372,,600611.XSHG,002672.XSHE,,
373,,600970.XSHG,300274.XSHE,,
374,,603926.XSHG,002110.XSHE,,
375,,603108.XSHG,300166.XSHE,,
376,,600990.XSHG,002368.XSHE,,
377,,600236.XSHG,300431.XSHE,,
378,,601007.XSHG,002130.XSHE,,
379,,600295.XSHG,000883.XSHE,,
380,,600211.XSHG,000088.XSHE,,
381,,600844.XSHG,002449.XSHE,,
382,,603789.XSHG,000008.XSHE,,
383,,600673.XSHG,000802.XSHE,,
384,,600213.XSHG,300284.XSHE,,
385,,600770.XSHG,000725.XSHE,,
386,,600501.XSHG,000488.XSHE,,
387,,603658.XSHG,300098.XSHE,,
388,,600882.XSHG,002179.XSHE,,
389,,603985.XSHG,000876.XSHE,,
390,,601186.XSHG,000875.XSHE,,
391,,600536.XSHG,002668.XSHE,,
392,,601800.XSHG,300136.XSHE,,
393,,601311.XSHG,002168.XSHE,,
394,,603040.XSHG,300144.XSHE,,
395,,600613.XSHG,000415.XSHE,,
396,,601199.XSHG,002002.XSHE,,
397,,603688.XSHG,000338.XSHE,,
398,,600269.XSHG,002036.XSHE,,
399,,600255.XSHG,002128.XSHE,,
400,,600313.XSHG,000027.XSHE,,
401,,601555.XSHG,000625.XSHE,,
402,,603338.XSHG,000712.XSHE,,
403,,603876.XSHG,000806.XSHE,,
404,,600683.XSHG,002505.XSHE,,
405,,600503.XSHG,300355.XSHE,,
406,,603859.XSHG,000078.XSHE,,
407,,603326.XSHG,000727.XSHE,,
408,,603601.XSHG,002152.XSHE,,
409,,600312.XSHG,002299.XSHE,,
410,,600540.XSHG,000036.XSHE,,
411,,600538.XSHG,000921.XSHE,,
412,,600890.XSHG,002603.XSHE,,
413,,603918.XSHG,000034.XSHE,,
414,,600325.XSHG,000792.XSHE,,
415,,600897.XSHG,300558.XSHE,,
416,,603978.XSHG,300015.XSHE,,
417,,603843.XSHG,002120.XSHE,,
418,,600060.XSHG,002841.XSHE,,
419,,600273.XSHG,002065.XSHE,,
420,,603008.XSHG,002544.XSHE,,
421,,603101.XSHG,300072.XSHE,,
422,,600017.XSHG,002407.XSHE,,
423,,600378.XSHG,000166.XSHE,,
424,,600621.XSHG,002022.XSHE,,
425,,603298.XSHG,002428.XSHE,,
426,,600116.XSHG,300317.XSHE,,
427,,603730.XSHG,300197.XSHE,,
428,,603055.XSHG,002595.XSHE,,
429,,600075.XSHG,300101.XSHE,,
430,,600476.XSHG,002426.XSHE,,
431,,600481.XSHG,000666.XSHE,,
432,,600070.XSHG,002028.XSHE,,
433,,600862.XSHG,002601.XSHE,,
434,,600281.XSHG,002056.XSHE,,
435,,600999.XSHG,300207.XSHE,,
436,,603611.XSHG,002714.XSHE,,
437,,601880.XSHG,300413.XSHE,,
438,,603365.XSHG,000758.XSHE,,
439,,600380.XSHG,002352.XSHE,,
440,,600215.XSHG,300323.XSHE,,
441,,603998.XSHG,000661.XSHE,,
442,,600309.XSHG,000710.XSHE,,
443,,600588.XSHG,002250.XSHE,,
444,,603161.XSHG,300090.XSHE,,
445,,600127.XSHG,002450.XSHE,,
446,,603788.XSHG,002608.XSHE,,
447,,600841.XSHG,002271.XSHE,,
448,,600315.XSHG,002701.XSHE,,
449,,600053.XSHG,000939.XSHE,,
450,,601985.XSHG,002589.XSHE,,
451,,600114.XSHG,300418.XSHE,,
452,,603188.XSHG,002048.XSHE,,
453,,603063.XSHG,300003.XSHE,,
454,,600557.XSHG,002597.XSHE,,
455,,600750.XSHG,002106.XSHE,,
456,,600518.XSHG,000418.XSHE,,
457,,601799.XSHG,300137.XSHE,,
458,,603323.XSHG,002157.XSHE,,
